gameid	 time	 roundNum	 trialType	 extra	 clickedObjName	 clickedObjTrialType 	clickedObjCondition	 clickedObjTargetStatus	 clickedObjSpeakerLocs	 clickedObjListenerLocs	 alt1Name	 alt1TrialType	 alt1Condition	 alt1TargetStatus	 alt1SpeakerLocs	 alt1ListenerLocs	 alt2Name	 alt2TrialType	 alt2Condition	 alt2TargetStatus	 alt2SpeakerLocs	 alt2ListenerLocs	 alt3Name	 alt3TrialType	 alt3Condition	 alt3TargetStatus	 alt3SpeakerLocs	 alt3ListenerLocs	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps
4966-c	1620235797182	28	clickedObj		glasses_big_blue	overinformativeness	size_sufficient	target	1	2	glasses_small_red	overinformativeness	size_sufficient	distractor	3	4	glasses_small_blue	overinformativeness	size_sufficient	distractor	2	3	glasses_small_blue	overinformativeness	size_sufficient	distractor	4	1	1	0	1		w	1620235794700
4966-c	1620235805309	29	clickedObj		pencil_short_blue	adjective_ordering	none	distractor	3	3	pencil_long_blue	adjective_ordering	none	target	2	1	pencil_short_black	adjective_ordering	none	distractor	4	4	pencil_long_black	adjective_ordering	none	distractor	1	2	1	0	1		gf	1620235803293
4966-c	1620235812393	30	clickedObj		cat_big_white	overinformativeness	size_sufficient	distractor	3	3	cat_big_black	overinformativeness	size_sufficient	distractor	1	1	cat_big_black	overinformativeness	size_sufficient	distractor	2	4	cat_small_black	overinformativeness	size_sufficient	target	4	2	1	0	1		v	1620235810758
4966-c	1620235822030	31	clickedObj		spoon_metal_clean	adjective_ordering	none	distractor	2	1	spoon_metal_dirty	adjective_ordering	none	target	1	2	spoon_wooden_dirty	adjective_ordering	none	distractor	3	4	spoon_wooden_clean	adjective_ordering	none	distractor	4	3	1	0	1		g	1620235821143
4966-c	1620235829548	32	clickedObj		clock_small_yellow	overinformativeness	size_sufficient	distractor	2	2	clock_small_purple	overinformativeness	size_sufficient	distractor	4	1	clock_big_purple	overinformativeness	size_sufficient	target	3	4	clock_small_purple	overinformativeness	size_sufficient	distractor	1	3	1	0	1		b	1620235827428
4966-c	1620235837375	33	clickedObj		strawberry	filler	none	distractor	1	3	dog	filler	none	target	4	2	butterfly	filler	none	distractor	3	1	chick	filler	none	distractor	2	4	2	1	1	g	f	1620235836382___1620235837166
4966-c	1620235844864	34	clickedObj		box_open_cardboard	adjective_ordering	none	target	1	4	box_closed_cardboard	adjective_ordering	none	distractor	4	3	box_closed_wood	adjective_ordering	none	distractor	3	2	box_open_wood	adjective_ordering	none	distractor	2	1	3	2	1	f___s	s	1620235841135___1620235843295___1620235845543
4966-c	1620235851694	35	clickedObj		button_small_blue	overinformativeness	size_sufficient	target	3	1	button_big_blue	overinformativeness	size_sufficient	distractor	2	4	button_big_green	overinformativeness	size_sufficient	distractor	4	2	button_big_blue	overinformativeness	size_sufficient	distractor	1	3	2	1	1	h	h	1620235850096___1620235851408
4966-c	1620235860766	36	clickedObj		earring_small_triangular	adjective_ordering	none	distractor	4	3	earring_small_round	adjective_ordering	none	distractor	1	2	earring_big_round	adjective_ordering	none	distractor	3	1	earring_big_triangular	adjective_ordering	none	target	2	4	2	1	1	f	f	1620235857851___1620235859256
4966-c	1620235869829	37	clickedObj		key_small_silver	overinformativeness	size_sufficient	target	1	4	key_big_silver	overinformativeness	size_sufficient	distractor	3	3	key_big_gold	overinformativeness	size_sufficient	distractor	4	2	key_big_silver	overinformativeness	size_sufficient	distractor	2	1	2	1	1	g	g	1620235869245___1620235870439
4966-c	1620235878015	38	clickedObj		shorts_wet_red	adjective_ordering	none	target	2	3	shorts_dry_red	adjective_ordering	none	distractor	1	2	shorts_dry_green	adjective_ordering	none	distractor	3	4	shorts_wet_green	adjective_ordering	none	distractor	4	1	1	0	1		v	1620235876301
4966-c	1620235887849	39	clickedObj		tie_big_blue	overinformativeness	color_sufficient	distractor	4	1	tie_small_blue	overinformativeness	color_sufficient	distractor	3	3	tie_big_blue	overinformativeness	color_sufficient	distractor	1	4	tie_big_red	overinformativeness	color_sufficient	target	2	2	2	1	1	f	f	1620235886049___1620235887665
4966-c	1620235904918	40	clickedObj		bag_big_blue	overinformativeness	size_sufficient	distractor	4	3	bag_big_red	overinformativeness	size_sufficient	distractor	1	2	bag_small_red	overinformativeness	size_sufficient	target	2	4	bag_big_red	overinformativeness	size_sufficient	distractor	3	1	2	1	1	f	f	1620235896528___1620235898080
4966-c	1620235918401	41	clickedObj		frog_spotted_red	adjective_ordering	none	distractor	4	3	frog_spotted_green	adjective_ordering	none	distractor	2	4	frog_striped_red	adjective_ordering	none	distractor	1	1	frog_striped_green	adjective_ordering	none	target	3	2	1	0	1		v	1620235915454
4966-c	1620235924695	42	clickedObj		bowl	filler	none	distractor	4	3	elephant	filler	none	distractor	3	2	banana	filler	none	distractor	1	1	guitar	filler	none	target	2	4	1	0	1		b	1620235923416
4966-c	1620235930083	43	clickedObj		carrot	filler	none	distractor	1	4	door	filler	none	target	2	2	pitcher	filler	none	distractor	3	3	cow	filler	none	distractor	4	1	1	0	1		h	1620235929025
4966-c	1620235938274	44	clickedObj		balloon_big_yellow	overinformativeness	size_sufficient	target	3	2	baloon_small_yellow	overinformativeness	size_sufficient	distractor	1	1	baloon_small_pink	overinformativeness	size_sufficient	distractor	4	4	baloon_small_yellow	overinformativeness	size_sufficient	distractor	2	3	2	1	1	d	d	1620235935107___1620235938806
4966-c	1620235950118	45	clickedObj		pepper_big_red	overinformativeness	color_sufficient	distractor	1	2	pepper_big_green	overinformativeness	color_sufficient	target	4	1	pepper_small_red	overinformativeness	color_sufficient	distractor	3	3	pepper_big_red	overinformativeness	color_sufficient	distractor	2	4	2	1	1	f	f	1620235948222___1620235949484
4966-c	1620235966571	46	clickedObj		lipstick_small_red	overinformativeness	color_sufficient	distractor	3	1	lipstick_big_pink	overinformativeness	color_sufficient	target	4	4	lipstick_big_red	overinformativeness	color_sufficient	distractor	1	2	lipstick_big_red	overinformativeness	color_sufficient	distractor	2	3	2	0	2		c___d	1620235957285___1620235964513
4966-c	1620235975508	47	clickedObj		ball_small_purple	overinformativeness	size_sufficient	distractor	2	2	ball_small_yellow	overinformativeness	size_sufficient	distractor	3	1	ball_big_yellow	overinformativeness	size_sufficient	target	1	4	ball_small_yellow	overinformativeness	size_sufficient	distractor	4	3	1	0	1		f	1620235973335
4966-c	1620235983935	48	clickedObj		table_metal_low	adjective_ordering	none	target	2	3	table_wood_high	adjective_ordering	none	distractor	4	1	table_metal_high	adjective_ordering	none	distractor	1	4	table_wood_low	adjective_ordering	none	distractor	3	2	2	1	1	f	h	1620235976514___1620235981981
4966-c	1620235992946	49	clickedObj		lighter_small_black	overinformativeness	color_sufficient	distractor	2	4	lighter_big_black	overinformativeness	color_sufficient	distractor	4	1	lighter_big_black	overinformativeness	color_sufficient	distractor	1	3	lighter_big_white	overinformativeness	color_sufficient	target	3	2	1	0	1		j	1620235991024
4966-c	1620236009025	50	clickedObj		umbrella_big_blue	overinformativeness	color_sufficient	distractor	2	3	umbrella_big_green	overinformativeness	color_sufficient	target	1	4	umbrella_big_blue	overinformativeness	color_sufficient	distractor	3	2	umbrella_small_blue	overinformativeness	color_sufficient	distractor	4	1	2	0	2		g___f	1620236001029___1620236006552
4966-c	1620236017789	51	clickedObj		nails_black_matte	adjective_ordering	none	distractor	1	3	nails_black_glossy	adjective_ordering	none	distractor	4	1	nails_red_glossy	adjective_ordering	none	distractor	3	2	nails_red_matte	adjective_ordering	none	target	2	4	1	0	1		k	1620236015623
4966-c	1620236028087	52	clickedObj		socks_small_blue	overinformativeness	color_sufficient	target	4	3	socks_big_green	overinformativeness	color_sufficient	distractor	3	2	socks_small_green	overinformativeness	color_sufficient	distractor	2	1	socks_small_green	overinformativeness	color_sufficient	distractor	1	4	1	0	1		g	1620236024538
4966-c	1620236039425	53	clickedObj		woman2_happy_fat	adjective_ordering	none	target	4	2	woman2_sad_fat	adjective_ordering	none	distractor	3	1	woman2_sad_skinny	adjective_ordering	none	distractor	1	3	woman2_happy_skinny	adjective_ordering	none	distractor	2	4	1	0	1		j	1620236038667
4966-c	1620236050696	54	clickedObj		pants_big_green	overinformativeness	color_sufficient	target	3	1	pants_big_pink	overinformativeness	color_sufficient	distractor	4	4	pants_small_pink	overinformativeness	color_sufficient	distractor	1	2	pants_big_pink	overinformativeness	color_sufficient	distractor	2	3	1	0	1		k	1620236049339
4966-c	1620236059373	55	clickedObj		chick	filler	none	target	1	2	strawberry	filler	none	distractor	2	4	dog	filler	none	distractor	4	3	butterfly	filler	none	distractor	3	1	1	0	1		j	1620236058564
4966-c	1620236068350	56	clickedObj		brush_small_blue	overinformativeness	size_sufficient	target	4	4	brush_big_blue	overinformativeness	size_sufficient	distractor	3	1	brush_big_blue	overinformativeness	size_sufficient	distractor	2	3	brush_big_red	overinformativeness	size_sufficient	distractor	1	2	2	1	1	k	k	1620236067501___1620236068789
4966-c	1620236077865	57	clickedObj		hair_curly_blonde	adjective_ordering	none	target	4	1	hair_straight_blond	adjective_ordering	none	distractor	3	2	hair_curly_brown	adjective_ordering	none	distractor	2	4	hair_straight_brown	adjective_ordering	none	distractor	1	3	1	0	1		h	1620236076065
4966-c	1620236084938	58	clickedObj		pot_big_green	overinformativeness	color_sufficient	target	3	4	pot_small_blue	overinformativeness	color_sufficient	distractor	1	2	pot_big_blue	overinformativeness	color_sufficient	distractor	2	1	pot_big_blue	overinformativeness	color_sufficient	distractor	4	3	2	1	1	b	b	1620236084123___1620236085413
4966-c	1620236093896	59	clickedObj		shoe_small_pink	overinformativeness	color_sufficient	target	2	2	show_small_yellow	overinformativeness	color_sufficient	distractor	1	3	shoe_big_yellow	overinformativeness	color_sufficient	distractor	4	4	show_small_yellow	overinformativeness	color_sufficient	distractor	3	1	2	1	1	h	h	1620236092894___1620236094272
4966-c	1620236107328	60	clickedObj		bottle_plastic_small	adjective_ordering	none	distractor	3	4	bottle_plastic_big	adjective_ordering	none	distractor	1	2	bottle_glass_big	adjective_ordering	none	target	4	3	bottle_glass_small	adjective_ordering	none	distractor	2	1	1	0	1		k	1620236106717
2773-1	1620233507698	1	clickedObj		tomato	filler	none	target	3	4	horse	filler	none	distractor	2	2	fish	filler	none	distractor	4	3	pig	filler	none	distractor	1	1	3	1	2	Tomato is the object	Hi___Anyone there?	1620233487725___1620233505135___1620233505463
7298-3	1620249444252	1	clickedObj		horse	filler	none	distractor	3	3	tomato	filler	none	target	4	2	pig	filler	none	distractor	2	1	fish	filler	none	distractor	1	4	3	0	3		clue please___Hello___hi	1620248990018___1620249066171___1620249175788
7298-3	1620249489099	2	clickedObj		guitar	filler	none	distractor	2	3	elephant	filler	none	target	3	2	banana	filler	none	distractor	4	4	bowl	filler	none	distractor	1	1	1	0	1		hi	1620249484756
4762-9	1620234693807	1	clickedObj		tomato	filler	none	target	4	2	horse	filler	none	distractor	3	4	fish	filler	none	distractor	2	3	pig	filler	none	distractor	1	1	1	1	0	tomato		1620234688164
4762-9	1620234700641	2	clickedObj		elephant	filler	none	target	2	4	guitar	filler	none	distractor	4	2	bowl	filler	none	distractor	3	3	banana	filler	none	distractor	1	1	2	1	1	elephant	ty	1620234698774___1620234698988
4762-9	1620234706531	3	clickedObj		butterfly	filler	none	target	1	1	dog	filler	none	distractor	2	3	chick	filler	none	distractor	4	4	strawberry	filler	none	distractor	3	2	1	1	0	butterfly		1620234704976
4762-9	1620234711779	4	clickedObj		horse	filler	none	target	1	3	fish	filler	none	distractor	3	1	tomato	filler	none	distractor	2	2	pig	filler	none	distractor	4	4	1	1	0	horse		1620234710095
4762-9	1620234718243	5	clickedObj		strawberry	filler	none	target	3	3	chick	filler	none	distractor	1	4	butterfly	filler	none	distractor	2	1	dog	filler	none	distractor	4	2	1	1	0	strawberry		1620234716797
4762-9	1620234724886	6	clickedObj		cat_small_white	overinformativeness	size_sufficient	target	3	2	cat_big_white	overinformativeness	size_sufficient	distractor	4	3	cat_big_white	overinformativeness	size_sufficient	distractor	1	4	cat_big_black	overinformativeness	size_sufficient	distractor	2	1	1	1	0	small cat		1620234722903
4762-9	1620234731716	7	clickedObj		shoe_big_yellow	overinformativeness	color_sufficient	target	3	4	shoe_big_pink	overinformativeness	color_sufficient	distractor	4	3	shoe_big_pink	overinformativeness	color_sufficient	distractor	2	2	shoe_small_pink	overinformativeness	color_sufficient	distractor	1	1	1	1	0	yellow shoes		1620234730005
4762-9	1620234740616	8	clickedObj		toothbrush_small_green	overinformativeness	color_sufficient	target	4	2	toothbrush_small_purple	overinformativeness	color_sufficient	distractor	3	1	toothbrush_small_purple	overinformativeness	color_sufficient	distractor	1	3	toothbrush_big_purple	overinformativeness	color_sufficient	distractor	2	4	1	1	0	green toothbrush		1620234738884
4762-9	1620234748235	9	clickedObj		dress_big_blue	overinformativeness	size_sufficient	target	4	3	dress_small_blue	overinformativeness	size_sufficient	distractor	3	2	dress_small_green	overinformativeness	size_sufficient	distractor	1	4	dress_small_blue	overinformativeness	size_sufficient	distractor	2	1	1	1	0	large blue dress		1620234746364
4762-9	1620234757368	10	clickedObj		fish	filler	none	target	3	3	tomato	filler	none	distractor	2	2	pig	filler	none	distractor	1	1	horse	filler	none	distractor	4	4	1	1	0	clownfish		1620234755235
4762-9	1620234763956	11	clickedObj		key_small_silver	overinformativeness	size_sufficient	target	1	1	key_big_gold	overinformativeness	size_sufficient	distractor	3	3	key_big_silver	overinformativeness	size_sufficient	distractor	2	2	key_big_silver	overinformativeness	size_sufficient	distractor	4	4	1	1	0	small key		1620234761840
4762-9	1620234770536	12	clickedObj		pepper_big_green	overinformativeness	color_sufficient	target	4	2	pepper_big_red	overinformativeness	color_sufficient	distractor	2	3	pepper_big_red	overinformativeness	color_sufficient	distractor	3	1	pepper_small_red	overinformativeness	color_sufficient	distractor	1	4	1	1	0	green pepper		1620234768746
4762-9	1620234776618	13	clickedObj		pants_small_green	overinformativeness	color_sufficient	target	1	2	pants_big_pink	overinformativeness	color_sufficient	distractor	2	4	pants_small_pink	overinformativeness	color_sufficient	distractor	4	3	pants_small_pink	overinformativeness	color_sufficient	distractor	3	1	1	1	0	green pants		1620234774846
4762-9	1620234782934	14	clickedObj		carrot	filler	none	target	1	3	cow	filler	none	distractor	4	1	pitcher	filler	none	distractor	3	4	door	filler	none	distractor	2	2	1	1	0	carrot		1620234781002
4762-9	1620234798767	15	clickedObj		woman2_happy_skinny	adjective_ordering	none	target	3	1	woman2_sad_skinny	adjective_ordering	none	distractor	2	2	woman2_happy_fat	adjective_ordering	none	distractor	4	3	woman2_sad_fat	adjective_ordering	none	distractor	1	4	1	1	0	happy face not fat		1620234794383
4762-9	1620234806111	16	clickedObj		lock_big_silver	overinformativeness	color_sufficient	target	3	1	lock_big_gold	overinformativeness	color_sufficient	distractor	4	3	lock_big_gold	overinformativeness	color_sufficient	distractor	1	4	lock_small_gold	overinformativeness	color_sufficient	distractor	2	2	1	1	0	silver lock		1620234803306
4762-9	1620234811230	17	clickedObj		banana	filler	none	target	1	2	guitar	filler	none	distractor	3	1	bowl	filler	none	distractor	4	3	elephant	filler	none	distractor	2	4	1	1	0	banana		1620234810100
4762-9	1620234818025	18	clickedObj		lipstick_big_red	overinformativeness	color_sufficient	target	4	4	lipstick_small_pink	overinformativeness	color_sufficient	distractor	3	1	lipstick_big_pink	overinformativeness	color_sufficient	distractor	1	3	lipstick_big_pink	overinformativeness	color_sufficient	distractor	2	2	1	1	0	red lipstick		1620234816185
4762-9	1620234830263	19	clickedObj		frog_striped_red	adjective_ordering	none	target	1	1	frog_striped_green	adjective_ordering	none	distractor	4	4	frog_spotted_green	adjective_ordering	none	distractor	3	3	frog_spotted_red	adjective_ordering	none	distractor	2	2	1	1	0	striped red frog		1620234826987
4762-9	1620234838252	20	clickedObj		chair_small_yellow	overinformativeness	size_sufficient	target	3	1	chair_big_yellow	overinformativeness	size_sufficient	distractor	4	4	chair_big_yellow	overinformativeness	size_sufficient	distractor	2	3	chair_big_blue	overinformativeness	size_sufficient	distractor	1	2	1	1	0	small yellow chair		1620234836473
4762-9	1620234845730	21	clickedObj		brush_big_blue	overinformativeness	size_sufficient	target	1	2	brush_small_red	overinformativeness	size_sufficient	distractor	4	3	brush_small_blue	overinformativeness	size_sufficient	distractor	3	4	brush_small_blue	overinformativeness	size_sufficient	distractor	2	1	1	1	0	large blue brush		1620234843440
4762-9	1620234860014	22	clickedObj		woman_old_happy	adjective_ordering	none	target	2	4	woman_young_happy	adjective_ordering	none	distractor	3	3	woman_young_sad	adjective_ordering	none	distractor	4	2	woman_old_sad	adjective_ordering	none	distractor	1	1	1	1	0	old smiling lady		1620234857620
4762-9	1620234867596	23	clickedObj		umbrella_small_green	overinformativeness	color_sufficient	target	4	1	umbrella_small_blue	overinformativeness	color_sufficient	distractor	1	4	umbrella_big_blue	overinformativeness	color_sufficient	distractor	2	3	umbrella_small_blue	overinformativeness	color_sufficient	distractor	3	2	1	1	0	green umbrella 		1620234865119
4762-9	1620234875477	24	clickedObj		car_small_green	overinformativeness	size_sufficient	target	4	2	car_big_green	overinformativeness	size_sufficient	distractor	1	1	car_big_blue	overinformativeness	size_sufficient	distractor	3	4	car_big_green	overinformativeness	size_sufficient	distractor	2	3	1	1	0	small green car		1620234873450
4762-9	1620234887023	25	clickedObj		box_open_cardboard	adjective_ordering	none	target	2	1	box_closed_cardboard	adjective_ordering	none	distractor	4	3	box_closed_wood	adjective_ordering	none	distractor	3	2	box_open_wood	adjective_ordering	none	distractor	1	4	1	1	0	open cardboard box		1620234883515
4762-9	1620234898799	26	clickedObj		table_metal_high	adjective_ordering	none	target	4	3	table_wood_high	adjective_ordering	none	distractor	1	1	table_wood_low	adjective_ordering	none	distractor	3	4	table_metal_low	adjective_ordering	none	distractor	2	2	1	1	0	large silver table		1620234897009
4762-9	1620234921708	27	clickedObj		man2_mustached_glassed	adjective_ordering	none	target	3	2	man2_bearded_hatted	adjective_ordering	none	distractor	2	3	man2_bearded_glassed	adjective_ordering	none	distractor	1	1	man2_mustached_hatted	adjective_ordering	none	distractor	4	4	1	1	0	man with glasses and short beard		1620234914619
4762-9	1620234955832	28	clickedObj		spoon_wooden_dirty	adjective_ordering	none	target	4	3	spoon_metal_clean	adjective_ordering	none	distractor	1	4	spoon_wooden_clean	adjective_ordering	none	distractor	3	2	spoon_metal_dirty	adjective_ordering	none	distractor	2	1	1	1	0	wood spoon with spotted pattern on top		1620234944128
4762-9	1620234964183	29	clickedObj		button_big_blue	overinformativeness	size_sufficient	target	3	2	button_small_green	overinformativeness	size_sufficient	distractor	4	3	button_small_blue	overinformativeness	size_sufficient	distractor	1	4	button_small_blue	overinformativeness	size_sufficient	distractor	2	1	1	1	0	large blue button		1620234961403
4762-9	1620234974427	30	clickedObj		apple_small_red	overinformativeness	size_sufficient	target	2	3	apple_big_green	overinformativeness	size_sufficient	distractor	4	1	apple_big_red	overinformativeness	size_sufficient	distractor	3	2	apple_big_red	overinformativeness	size_sufficient	distractor	1	4	1	1	0	small red apple		1620234971794
4762-9	1620234982673	31	clickedObj		socks_small_green	overinformativeness	color_sufficient	target	4	4	socks_small_blue	overinformativeness	color_sufficient	distractor	1	1	socks_big_blue	overinformativeness	color_sufficient	distractor	2	2	socks_small_blue	overinformativeness	color_sufficient	distractor	3	3	1	1	0	green socks		1620234978567
4762-9	1620234989002	32	clickedObj		cow	filler	none	target	4	3	pitcher	filler	none	distractor	2	1	carrot	filler	none	distractor	1	2	door	filler	none	distractor	3	4	1	1	0	cow		1620234985463
4762-9	1620234999402	33	clickedObj		clock_big_yellow	overinformativeness	size_sufficient	target	2	4	clock_small_yellow	overinformativeness	size_sufficient	distractor	1	3	clock_small_purple	overinformativeness	size_sufficient	distractor	3	1	clock_small_yellow	overinformativeness	size_sufficient	distractor	4	2	1	1	0	large yellow clock		1620234996523
